,Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns,Investment
100,2016-05-27,Glencore PLC,Unicredit SpA,SSAB AB,Luxottica Group SpA,Telecom Italia SpA,Enel SpA,Mediclinic International PLC,Intesa Sanpaolo,Enel Green Power SpA,Bank of Ireland Group PLC,Commerzbank AG,Unione di Banche Italiane S.p.A.,Banca Popolare dell'Emilia Romagna Scrl,EXOR NV,UnipolSai Assicurazioni SpA,Prysmian SpA,Hiscox Ltd,BTG PLC,Terna Rete Elettrica Nazionale SpA,Carnival PLC,Prudential PLC,Moncler SpA,NMC Health PLC,Lloyds Banking Group PLC,Nokia OYJ,Marine Harvest ASA,William Hill PLC,KBC Group NV,Royal Bank of Scotland Group PLC,SVF Holdco UK Ltd,Barclays PLC,Unipol Gruppo Finanziario SpA,ASM International NV,GEA Group AG,Rio Tinto PLC,Aviva PLC,Pearson PLC,Premier Farnell Ltd,Telefonaktiebolaget LM Ericsson,Legal & General Group PLC,SKF AB,Berkeley Group Holdings PLC,Symrise AG,Amec Foster Wheeler Ltd,Air Liquide SA,Snam Rete Gas SpA,TalkTalk Telecom Group PLC,DS Smith PLC,Micronas Semiconductor Holding AG,Banca Popolare di Sondrio SCARL,WH Smith PLC,Atlantia SpA,CNH Industrial NV,Premier Foods PLC,BHP Group PLC,Spirent Communications PLC,thyssenkrupp AG,Melrose Industries PLC,Telia Co AB,ACEA SpA,0.04956554548330402,66.11
101,2016-06-07,Unicredit SpA,Glencore PLC,Luxottica Group SpA,SSAB AB,Mediclinic International PLC,Telecom Italia SpA,Enel SpA,Intesa Sanpaolo,Enel Green Power SpA,Unione di Banche Italiane S.p.A.,Banca Popolare dell'Emilia Romagna Scrl,Prysmian SpA,Carnival PLC,UnipolSai Assicurazioni SpA,Hiscox Ltd,EXOR NV,Commerzbank AG,Moncler SpA,Bank of Ireland Group PLC,Prudential PLC,Terna Rete Elettrica Nazionale SpA,BTG PLC,Lloyds Banking Group PLC,Unipol Gruppo Finanziario SpA,Marine Harvest ASA,GEA Group AG,Snam Rete Gas SpA,Atlantia SpA,KBC Group NV,Aviva PLC,Legal & General Group PLC,Barclays PLC,Telefonaktiebolaget LM Ericsson,WH Smith PLC,Rio Tinto PLC,Tesco PLC,Pearson PLC,Symrise AG,Nokia OYJ,NMC Health PLC,Royal Bank of Scotland Group PLC,LVMH Moet Hennessy Louis Vuitton SE,William Hill PLC,SKF AB,Air Liquide SA,TalkTalk Telecom Group PLC,SVF Holdco UK Ltd,Berkeley Group Holdings PLC,DS Smith PLC,Telia Co AB,Intertek Group PLC,Banca Popolare di Sondrio SCARL,Provident Financial PLC,St James's Place PLC,ASM International NV,Amec Foster Wheeler Ltd,Davide Campari-Milano SpA,BT Group PLC,Premier Foods PLC,Aareal Bank AG,-0.03759696800729741,63.62
102,2016-06-16,Unicredit SpA,SSAB AB,Luxottica Group SpA,Mediclinic International PLC,Telecom Italia SpA,Intesa Sanpaolo,AIB Group PLC,Enel SpA,Enel Green Power SpA,Banca Popolare dell'Emilia Romagna Scrl,Hiscox Ltd,Terna Rete Elettrica Nazionale SpA,UnipolSai Assicurazioni SpA,Prysmian SpA,Bank of Ireland Group PLC,Commerzbank AG,Unione di Banche Italiane S.p.A.,GEA Group AG,BTG PLC,Prudential PLC,KBC Group NV,William Hill PLC,Tesco PLC,EXOR NV,Amec Foster Wheeler Ltd,Carnival PLC,Marine Harvest ASA,Unipol Gruppo Finanziario SpA,TalkTalk Telecom Group PLC,Glencore PLC,DS Smith PLC,SKF AB,Atlantia SpA,Lloyds Banking Group PLC,Melrose Industries PLC,Pearson PLC,WH Smith PLC,Moncler SpA,Snam Rete Gas SpA,Telia Co AB,Berkeley Group Holdings PLC,Aviva PLC,NMC Health PLC,Rio Tinto PLC,RSA Insurance Group PLC,Soco International PLC,Auto Trader Group PLC,Air Liquide SA,Legal & General Group PLC,ASM International NV,Aareal Bank AG,Yara International ASA,Telefonaktiebolaget LM Ericsson,Grafton Group PLC.1,Deutsche Wohnen SE,Barclays PLC,Provident Financial PLC,LVMH Moet Hennessy Louis Vuitton SE,John Wood Group PLC,Intertek Group PLC,-0.06610094974612354,59.41
103,2016-06-27,Mediclinic International PLC,Unicredit SpA,Premier Farnell Ltd,Luxottica Group SpA,AIB Group PLC,Hiscox Ltd,SSAB AB,Intesa Sanpaolo,Telecom Italia SpA,Enel Green Power SpA,Enel SpA,Pearson PLC,Soco International PLC,Prysmian SpA,Terna Rete Elettrica Nazionale SpA,Melrose Industries PLC,UnipolSai Assicurazioni SpA,Amec Foster Wheeler Ltd,Carnival PLC,Prudential PLC,Commerzbank AG,WH Smith PLC,William Hill PLC,Bank of Ireland Group PLC,Royal Bank of Scotland Group PLC,Telefonaktiebolaget LM Ericsson,KBC Group NV,Banca Popolare dell'Emilia Romagna Scrl,Rio Tinto PLC,Petropavlovsk PLC,EXOR NV,Moncler SpA,Marine Harvest ASA,Berkeley Group Holdings PLC,Yara International ASA,John Wood Group PLC,DS Smith PLC,Aker BP ASA,Atlantia SpA,Tesco PLC,RSA Insurance Group PLC,TalkTalk Telecom Group PLC,Unione di Banche Italiane S.p.A.,GEA Group AG,LVMH Moet Hennessy Louis Vuitton SE,Snam Rete Gas SpA,Davide Campari-Milano SpA,Unipol Gruppo Finanziario SpA,Barclays PLC,A2A SpA,Rolls-Royce Holdings PLC,Symrise AG,Nokia OYJ,Grafton Group PLC.1,NMC Health PLC,Air Liquide SA,BG Group Ltd,Provident Financial PLC,CNH Industrial NV,Svenska Handelsbanken AB,-0.025546872586194473,57.89
104,2016-07-06,Unicredit SpA,AIB Group PLC,Premier Farnell Ltd,Luxottica Group SpA,Intesa Sanpaolo,Telecom Italia SpA,Mediclinic International PLC,Enel SpA,Bank of Ireland Group PLC,Berkeley Group Holdings PLC,Persimmon PLC,Terna Rete Elettrica Nazionale SpA,Banca Popolare dell'Emilia Romagna Scrl,Bellway PLC,Prysmian SpA,Hiscox Ltd,William Hill PLC,Unipol Gruppo Finanziario SpA,Grafton Group PLC.1,KBC Group NV,SSAB AB,Commerzbank AG,UnipolSai Assicurazioni SpA,Moncler SpA,Unione di Banche Italiane S.p.A.,Royal Bank of Scotland Group PLC,Lloyds Banking Group PLC,WH Smith PLC,Melrose Industries PLC,Enel Green Power SpA,Provident Financial PLC,CaixaBank SA,Prudential PLC,Petropavlovsk PLC,Taylor Wimpey PLC,Legal & General Group PLC,A2A SpA,Barratt Developments PLC,Barclays PLC,Carnival PLC,TalkTalk Telecom Group PLC,Soco International PLC,Kingspan Group PLC,CNH Industrial NV,DS Smith PLC,Amec Foster Wheeler Ltd,ITV PLC,BT Group PLC,Yara International ASA,Aviva PLC,EXOR NV,Snam Rete Gas SpA,Atlantia SpA,Pearson PLC,SGL Carbon SE,Thomas Cook Group PLC,John Wood Group PLC,Rio Tinto PLC,LVMH Moet Hennessy Louis Vuitton SE,thyssenkrupp AG,-0.06468270168010436,54.15
105,2016-07-15,Bankia SA,Arcandor AG,Luxottica Group SpA,Telecom Italia SpA,Premier Farnell Ltd,Unicredit SpA,Mediclinic International PLC,Enel SpA,Terna Rete Elettrica Nazionale SpA,Unione di Banche Italiane S.p.A.,Banca Popolare dell'Emilia Romagna Scrl,Enel Green Power SpA,Banco Popular Espanol SA,CaixaBank SA,Oxurion NV,Davide Campari-Milano SpA,UnipolSai Assicurazioni SpA,AIB Group PLC,Commerzbank AG,Moncler SpA,Snam Rete Gas SpA,Petropavlovsk PLC,EXOR NV,Atlantia SpA,Deutsche Wohnen SE,Merlin Properties Socimi SA,Kingspan Group PLC,LVMH Moet Hennessy Louis Vuitton SE,Marine Harvest ASA,Banca Popolare di Sondrio SCARL,BT Group PLC,Vonovia SE,Fresenius Medical Care AG & Co KGaA,Siemens Gamesa Renewable Energy SA,A2A SpA,Endesa SA,BG Group Ltd,Melrose Industries PLC,CNH Industrial NV,Yara International ASA,ENI SpA,Sanofi,thyssenkrupp AG,Prysmian SpA,Red Electrica Corp SA,Poste Italiane SpA,Acerinox SA,Dassault Aviation SA,Enagas SA,Rolls-Royce Holdings PLC,Rio Tinto PLC,Stolt-Nielsen Ltd,Bank of Greece,Deutsche Telekom AG,Unipol Gruppo Finanziario SpA,Tod's SpA,Leonardo SpA,Industria de Diseno Textil SA,Bayer AG,Air Liquide SA,0.05985171049895845,57.39
106,2016-07-26,Luxottica Group SpA,Bankia SA,Arcandor AG,Premier Farnell Ltd,Mediclinic International PLC,Terna Rete Elettrica Nazionale SpA,Enel SpA,AIB Group PLC,Telecom Italia SpA,Melrose Industries PLC,Enel Green Power SpA,Unicredit SpA,Moncler SpA,Unione di Banche Italiane S.p.A.,Davide Campari-Milano SpA,Oxurion NV,Snam Rete Gas SpA,CaixaBank SA,Petropavlovsk PLC,Deutsche Wohnen SE,Kingspan Group PLC,LVMH Moet Hennessy Louis Vuitton SE,Atlantia SpA,Fresenius Medical Care AG & Co KGaA,Endesa SA,Banco Popular Espanol SA,BG Group Ltd,EXOR NV,UnipolSai Assicurazioni SpA,Commerzbank AG,Banca Popolare di Sondrio SCARL,Stolt-Nielsen Ltd,Marine Harvest ASA,Vonovia SE,Rolls-Royce Holdings PLC,H Lundbeck A/S,Red Electrica Corp SA,Merlin Properties Socimi SA,Enagas SA,Bank of Greece,Sanofi,BT Group PLC,A2A SpA,Prysmian SpA,Recordati SpA,Betfair Group Ltd,Banca Popolare dell'Emilia Romagna Scrl,ENI SpA,Aena SME SA,Dassault Aviation SA,Siemens Gamesa Renewable Energy SA,Yara International ASA,Gerresheimer AG,Telecity Group Ltd,Iberdrola SA,Deutsche Telekom AG,Italcementi SpA,Bwin Party Digital Entertainment PLC,Industria de Diseno Textil SA,Polyus Gold International Ltd,-0.0009954728798873935,57.33
107,2016-08-04,Luxottica Group SpA,Bankia SA,Arcandor AG,Premier Farnell Ltd,Mediclinic International PLC,AIB Group PLC,Terna Rete Elettrica Nazionale SpA,Telecom Italia SpA,Enel SpA,Melrose Industries PLC,Enel Green Power SpA,Moncler SpA,Unicredit SpA,Oxurion NV,Davide Campari-Milano SpA,Unione di Banche Italiane S.p.A.,Snam Rete Gas SpA,LVMH Moet Hennessy Louis Vuitton SE,CaixaBank SA,Deutsche Wohnen SE,Kingspan Group PLC,Petropavlovsk PLC,Fresenius Medical Care AG & Co KGaA,Endesa SA,H Lundbeck A/S,BG Group Ltd,Banco Popular Espanol SA,Atlantia SpA,Stolt-Nielsen Ltd,EXOR NV,Commerzbank AG,Marine Harvest ASA,Vonovia SE,UnipolSai Assicurazioni SpA,Prysmian SpA,Bank of Greece,Sanofi,Red Electrica Corp SA,BT Group PLC,Banca Popolare di Sondrio SCARL,Enagas SA,Recordati SpA,Merlin Properties Socimi SA,Betfair Group Ltd,Rolls-Royce Holdings PLC,Siemens Gamesa Renewable Energy SA,ENI SpA,Aena SME SA,Iberdrola SA,Gerresheimer AG,Dassault Aviation SA,Industria de Diseno Textil SA,A2A SpA,Tod's SpA,Bwin Party Digital Entertainment PLC,Italcementi SpA,Telecity Group Ltd,Colruyt SA,Deutsche Telekom AG,Acerinox SA,-0.00830475057950993,56.85
108,2016-08-15,Luxottica Group SpA,Bankia SA,Arcandor AG,Mediclinic International PLC,Premier Farnell Ltd,Terna Rete Elettrica Nazionale SpA,Melrose Industries PLC,Telecom Italia SpA,Moncler SpA,Enel SpA,Unicredit SpA,Enel Green Power SpA,Unione di Banche Italiane S.p.A.,CaixaBank SA,Davide Campari-Milano SpA,Snam Rete Gas SpA,Banco Popular Espanol SA,LVMH Moet Hennessy Louis Vuitton SE,Stolt-Nielsen Ltd,Petropavlovsk PLC,Deutsche Wohnen SE,Oxurion NV,BG Group Ltd,Atlantia SpA,UnipolSai Assicurazioni SpA,EXOR NV,Commerzbank AG,Endesa SA,Marine Harvest ASA,Fresenius Medical Care AG & Co KGaA,H Lundbeck A/S,Kingspan Group PLC,Acerinox SA,Sanofi,Vonovia SE,BT Group PLC,Aena SME SA,Prysmian SpA,Banca Popolare di Sondrio SCARL,Red Electrica Corp SA,ENI SpA,Enagas SA,Bank of Greece,Merlin Properties Socimi SA,Betfair Group Ltd,Iberdrola SA,Recordati SpA,Siemens Gamesa Renewable Energy SA,Banca Popolare dell'Emilia Romagna Scrl,Gerresheimer AG,Tod's SpA,A2A SpA,Poste Italiane SpA,Italcementi SpA,Telecity Group Ltd,Rio Tinto PLC,Polyus Gold International Ltd,Tecnicas Reunidas SA,Deutsche Telekom AG,Industria de Diseno Textil SA,0.037447822139499605,58.98
109,2016-08-24,Luxottica Group SpA,Bankia SA,Premier Farnell Ltd,Mediclinic International PLC,Arcandor AG,Terna Rete Elettrica Nazionale SpA,Telecom Italia SpA,Enel SpA,Moncler SpA,Enel Green Power SpA,Melrose Industries PLC,Snam Rete Gas SpA,Davide Campari-Milano SpA,Unione di Banche Italiane S.p.A.,Unicredit SpA,Deutsche Wohnen SE,BG Group Ltd,H Lundbeck A/S,Oxurion NV,Marine Harvest ASA,CaixaBank SA,Endesa SA,Fresenius Medical Care AG & Co KGaA,LVMH Moet Hennessy Louis Vuitton SE,Atlantia SpA,Sanofi,Acerinox SA,Stolt-Nielsen Ltd,Banco Popular Espanol SA,Vonovia SE,Petropavlovsk PLC,EXOR NV,BT Group PLC,Merlin Properties Socimi SA,Red Electrica Corp SA,ENI SpA,Gerresheimer AG,Aena SME SA,Enagas SA,Kingspan Group PLC,Poste Italiane SpA,Commerzbank AG,UnipolSai Assicurazioni SpA,Bank of Greece,Deutsche Telekom AG,Prysmian SpA,Recordati SpA,Rio Tinto PLC,Pharol SGPS SA,TOTAL SA,Kabel Deutschland Holding AG,Siemens Gamesa Renewable Energy SA,thyssenkrupp AG,Bayer AG,Italcementi SpA,Iberdrola SA,Nestle SA.1,Nestle SA,Seadrill Ltd/old,Industria de Diseno Textil SA,-0.010633009252568954,58.35
110,2016-09-02,Arcandor AG,Luxottica Group SpA,Premier Farnell Ltd,Bankia SA,Mediclinic International PLC,Terna Rete Elettrica Nazionale SpA,Moncler SpA,Telecom Italia SpA,Enel SpA,Melrose Industries PLC,Snam Rete Gas SpA,Enel Green Power SpA,Davide Campari-Milano SpA,H Lundbeck A/S,Unicredit SpA,Deutsche Wohnen SE,Fresenius Medical Care AG & Co KGaA,Acerinox SA,Oxurion NV,Stolt-Nielsen Ltd,Marine Harvest ASA,Unione di Banche Italiane S.p.A.,BG Group Ltd,Endesa SA,LVMH Moet Hennessy Louis Vuitton SE,Sanofi,Vonovia SE,Poste Italiane SpA,Atlantia SpA,CaixaBank SA,BT Group PLC,Kingspan Group PLC,EXOR NV,UnipolSai Assicurazioni SpA,ENI SpA,Merlin Properties Socimi SA,Pharol SGPS SA,Red Electrica Corp SA,Banco Popular Espanol SA,Recordati SpA,Gerresheimer AG,Prysmian SpA,Aena SME SA,Enagas SA,Banca Popolare di Sondrio SCARL,Bank of Greece,Commerzbank AG,Italcementi SpA,Nestle SA.1,Nestle SA,Siemens Gamesa Renewable Energy SA,Bayer AG,TOTAL SA,Deutsche Telekom AG,Telekom Austria AG,Iberdrola SA,CNH Industrial NV,Telecity Group Ltd,Industria de Diseno Textil SA,Alcatel Lucent SA,-0.0035468082920469195,58.14
111,2016-09-13,Arcandor AG,Luxottica Group SpA,Bankia SA,Premier Farnell Ltd,Mediclinic International PLC,Terna Rete Elettrica Nazionale SpA,Pharol SGPS SA,Moncler SpA,Enel SpA,Telecom Italia SpA,Davide Campari-Milano SpA,Melrose Industries PLC,Snam Rete Gas SpA,Enel Green Power SpA,Acerinox SA,Deutsche Wohnen SE,H Lundbeck A/S,Poste Italiane SpA,Fresenius Medical Care AG & Co KGaA,Kingspan Group PLC,Oxurion NV,Vonovia SE,Unione di Banche Italiane S.p.A.,CaixaBank SA,Marine Harvest ASA,Unicredit SpA,Banco Popular Espanol SA,Endesa SA,LVMH Moet Hennessy Louis Vuitton SE,Merlin Properties Socimi SA,Aena SME SA,Gerresheimer AG,EXOR NV,Stolt-Nielsen Ltd,Atlantia SpA,Sanofi,Recordati SpA,UnipolSai Assicurazioni SpA,Rolls-Royce Holdings PLC,Enagas SA,Red Electrica Corp SA,ENI SpA,Siemens Gamesa Renewable Energy SA,Nestle SA,Nestle SA.1,BG Group Ltd,Petropavlovsk PLC,TOTAL SA,BT Group PLC,Bayer AG,Bank of Greece,Pearson PLC,Telekom Austria AG,Betfair Group Ltd,Italcementi SpA,Prysmian SpA,Banca Popolare di Sondrio SCARL,Kabel Deutschland Holding AG,Commerzbank AG,Deutsche Telekom AG,-0.007415642511728082,57.71
112,2016-09-22,Arcandor AG,Luxottica Group SpA,Bankia SA,Premier Farnell Ltd,Mediclinic International PLC,Terna Rete Elettrica Nazionale SpA,Enel SpA,Moncler SpA,Telecom Italia SpA,Davide Campari-Milano SpA,Enel Green Power SpA,Snam Rete Gas SpA,Melrose Industries PLC,Deutsche Wohnen SE,Vonovia SE,Acerinox SA,Kingspan Group PLC,H Lundbeck A/S,Poste Italiane SpA,Fresenius Medical Care AG & Co KGaA,Pharol SGPS SA,Marine Harvest ASA,CaixaBank SA,LVMH Moet Hennessy Louis Vuitton SE,Merlin Properties Socimi SA,Recordati SpA,Oxurion NV,Endesa SA,Aena SME SA,EXOR NV,Unione di Banche Italiane S.p.A.,Sanofi,Banco Popular Espanol SA,Petropavlovsk PLC,Unicredit SpA,Atlantia SpA,Rolls-Royce Holdings PLC,Stolt-Nielsen Ltd,Gerresheimer AG,Enagas SA,UnipolSai Assicurazioni SpA,Bank of Greece,Red Electrica Corp SA,Pearson PLC,Nestle SA,Nestle SA.1,BG Group Ltd,Siemens Gamesa Renewable Energy SA,ENI SpA,Betfair Group Ltd,Italcementi SpA,BT Group PLC,Bayer AG,Prysmian SpA,TOTAL SA,AIB Group PLC,Commerzbank AG,Kabel Deutschland Holding AG,Telekom Austria AG,Telecity Group Ltd,-0.0030654812934418235,57.53
113,2016-10-03,Arcandor AG,Premier Farnell Ltd,Luxottica Group SpA,Bankia SA,Mediclinic International PLC,Terna Rete Elettrica Nazionale SpA,Enel SpA,Moncler SpA,Telecom Italia SpA,Davide Campari-Milano SpA,Pharol SGPS SA,Enel Green Power SpA,Deutsche Wohnen SE,Acerinox SA,Melrose Industries PLC,Snam Rete Gas SpA,Banco Popular Espanol SA,Petropavlovsk PLC,EXOR NV,Marine Harvest ASA,Kingspan Group PLC,Vonovia SE,CaixaBank SA,Merlin Properties Socimi SA,Stolt-Nielsen Ltd,Recordati SpA,Poste Italiane SpA,Sanofi,Unione di Banche Italiane S.p.A.,Aena SME SA,TOTAL SA,Pearson PLC,H Lundbeck A/S,Gerresheimer AG,Atlantia SpA,UnipolSai Assicurazioni SpA,LVMH Moet Hennessy Louis Vuitton SE,Rolls-Royce Holdings PLC,Unicredit SpA,Fresenius Medical Care AG & Co KGaA,Ferrari NV,BG Group Ltd,Bayer AG,Endesa SA,Siemens Gamesa Renewable Energy SA,Nestle SA,Nestle SA.1,ENI SpA,Oxurion NV,Red Electrica Corp SA,Commerzbank AG,Rio Tinto PLC,thyssenkrupp AG,AIB Group PLC,Enagas SA,Banca Popolare di Sondrio SCARL,Prysmian SpA,Betfair Group Ltd,Banca Popolare dell'Emilia Romagna Scrl,BP PLC,-0.0009202432933381129,57.48
114,2016-10-12,Arcandor AG,Premier Farnell Ltd,Bankia SA,Luxottica Group SpA,Mediclinic International PLC,Terna Rete Elettrica Nazionale SpA,H Lundbeck A/S,Pharol SGPS SA,Banco Popular Espanol SA,Enel SpA,Siemens Gamesa Renewable Energy SA,Davide Campari-Milano SpA,Deutsche Wohnen SE,Recordati SpA,Petropavlovsk PLC,Acerinox SA,Kingspan Group PLC,Moncler SpA,Melrose Industries PLC,Enel Green Power SpA,REC Silicon ASA,Gerresheimer AG,Oxurion NV,Snam Rete Gas SpA,Merlin Properties Socimi SA,Vonovia SE,CaixaBank SA,Telecom Italia SpA,Marine Harvest ASA,Vifor Pharma AG,Vifor Pharma AG.1,Rolls-Royce Holdings PLC,Stolt-Nielsen Ltd,Telekom Austria AG,Sanofi,CIMPOR Cimentos de Portugal SGPS SA,Nestle SA.1,Nestle SA,Atlantia SpA,Enagas SA,Poste Italiane SpA,Unione di Banche Italiane S.p.A.,Hikma Pharmaceuticals PLC,Endesa SA,BG Group Ltd,Tecnicas Reunidas SA,Aena SME SA,Red Electrica Corp SA,Commerzbank AG,Bank Polska Kasa Opieki SA,UnipolSai Assicurazioni SpA,TAG Immobilien AG,Banque Cantonale Vaudoise,EXOR NV,Ferrari NV,ENI SpA,Bayer AG,Fresenius Medical Care AG & Co KGaA,AstraZeneca PLC,Bechtle AG,-0.012655066248795714,56.75
115,2016-10-21,Premier Farnell Ltd,Arcandor AG,Bankia SA,Mediclinic International PLC,Luxottica Group SpA,H Lundbeck A/S,Terna Rete Elettrica Nazionale SpA,Recordati SpA,Enel SpA,Deutsche Wohnen SE,Gerresheimer AG,Pharol SGPS SA,Davide Campari-Milano SpA,Oxurion NV,Merlin Properties Socimi SA,Acerinox SA,Enel Green Power SpA,Snam Rete Gas SpA,Marine Harvest ASA,Petropavlovsk PLC,Vonovia SE,Rolls-Royce Holdings PLC,Vifor Pharma AG.1,Vifor Pharma AG,Kingspan Group PLC,Red Electrica Corp SA,Sanofi,Fresenius Medical Care AG & Co KGaA,Moncler SpA,Atlantia SpA,Enagas SA,Nestle SA,Nestle SA.1,Bank Polska Kasa Opieki SA,BG Group Ltd,Iberdrola SA,Stolt-Nielsen Ltd,Siemens Gamesa Renewable Energy SA,Banco Popular Espanol SA,Tecnicas Reunidas SA,Aena SME SA,Hikma Pharmaceuticals PLC,AstraZeneca PLC,TAG Immobilien AG,Endesa SA,Telecom Italia SpA,Bayer AG,Telekom Austria AG,Singulus Technologies AG,thyssenkrupp AG,Rubis SCA,Italcementi SpA,Diebold Nixdorf AG,Ackermans & van Haaren NV,ENI SpA,Coca-Cola HBC AG.1,Sanoma OYJ,Banque Cantonale Vaudoise,Industria de Diseno Textil SA,Hera SpA,0.01455733383576222,57.58
116,2016-11-01,Premier Farnell Ltd,Bankia SA,Arcandor AG,Luxottica Group SpA,Terna Rete Elettrica Nazionale SpA,Recordati SpA,Singulus Technologies AG,Oxurion NV,Pharol SGPS SA,H Lundbeck A/S,Deutsche Wohnen SE,Merlin Properties Socimi SA,Enel SpA,Snam Rete Gas SpA,Gerresheimer AG,Davide Campari-Milano SpA,Sanofi,Petropavlovsk PLC,Rolls-Royce Holdings PLC,Marine Harvest ASA,Stolt-Nielsen Ltd,Tecnicas Reunidas SA,AstraZeneca PLC,Enel Green Power SpA,Hikma Pharmaceuticals PLC,Unione di Banche Italiane S.p.A.,Acerinox SA,Vonovia SE,Red Electrica Corp SA,Mediclinic International PLC,Vifor Pharma AG,Vifor Pharma AG.1,Moncler SpA,Endesa SA,Enagas SA,Fresenius Medical Care AG & Co KGaA,Iberdrola SA,BG Group Ltd,Kingspan Group PLC,Rubis SCA,Coca-Cola HBC AG.1,Chemring Group PLC,Atlantia SpA,TAG Immobilien AG,EXOR NV,Nestle SA,Nestle SA.1,Aena SME SA,Bayer AG,Shire PLC,Informa PLC,ENI SpA,Galapagos NV,UDG Healthcare PLC,Telekom Austria AG,Ferrari NV,Ackermans & van Haaren NV,thyssenkrupp AG,REC Silicon ASA,Sonova Holding AG,-0.014540157585257152,56.74
117,2016-11-10,Arcandor AG,Bankia SA,Premier Farnell Ltd,Luxottica Group SpA,Terna Rete Elettrica Nazionale SpA,Pharol SGPS SA,Recordati SpA,Oxurion NV,Merlin Properties Socimi SA,Enagas SA,Snam Rete Gas SpA,Petropavlovsk PLC,H Lundbeck A/S,Deutsche Wohnen SE,Red Electrica Corp SA,Iberdrola SA,Enel SpA,Marine Harvest ASA,Endesa SA,Sanofi,Kingspan Group PLC,TAG Immobilien AG,Chemring Group PLC,Hikma Pharmaceuticals PLC,Davide Campari-Milano SpA,Vonovia SE,Vifor Pharma AG.1,Vifor Pharma AG,Aena SME SA,Fresenius Medical Care AG & Co KGaA,Moncler SpA,Enel Green Power SpA,AstraZeneca PLC,Indivior PLC,Dexia SA,Ablynx NV,Atlantia SpA,Ackermans & van Haaren NV,Sonova Holding AG.1,Sonova Holding AG,Polski Koncern Naftowy ORLEN SA,Galapagos NV,Bayer AG,Coca-Cola HBC AG.1,Stolt-Nielsen Ltd,Informa PLC,Inmobiliaria Colonial Socimi SA,Kabel Deutschland Holding AG,Kering SA,Straumann Holding AG,Ebro Foods SA,Cable & Wireless Communications Ltd/Old,Orange SA,Diebold Nixdorf AG,Wolters Kluwer NV,Nestle SA,Nestle SA.1,Poste Italiane SpA,Givaudan SA.1,Givaudan SA,-0.006162429217031545,56.39
118,2016-11-21,Arcandor AG,Bankia SA,Premier Farnell Ltd,Pharol SGPS SA,Oxurion NV,Royal Imtech NV,Luxottica Group SpA,H Lundbeck A/S,Terna Rete Elettrica Nazionale SpA,Indivior PLC,Merlin Properties Socimi SA,Dexia SA,Recordati SpA,REC Silicon ASA,Deutsche Wohnen SE,Snam Rete Gas SpA,Enagas SA,Chemring Group PLC,Inmobiliaria Colonial Socimi SA,Iberdrola SA,Enel SpA,Red Electrica Corp SA,Vonovia SE,Davide Campari-Milano SpA,Sanofi,Ablynx NV,Kingspan Group PLC,CIMPOR Cimentos de Portugal SGPS SA,Petropavlovsk PLC,Vifor Pharma AG.1,Vifor Pharma AG,Endesa SA,Stolt-Nielsen Ltd,Hikma Pharmaceuticals PLC,Aena SME SA,Dialog Semiconductor PLC,Straumann Holding AG,Enel Green Power SpA,Banco BPI SA,TAG Immobilien AG,Moncler SpA,Bayer AG,Atlantia SpA,Cable & Wireless Communications Ltd/Old,Banco Popular Espanol SA,Kabel Deutschland Holding AG,Tate & Lyle PLC,Fresenius Medical Care AG & Co KGaA,Distribuidora Internacional de Alimentac,Sonova Holding AG,Sonova Holding AG.1,Marine Harvest ASA,Coca-Cola HBC AG.1,Diebold Nixdorf AG,Indra Sistemas SA,AstraZeneca PLC,Premier Foods PLC,Informa PLC,Signet Jewelers Ltd,Banque Cantonale Vaudoise,-0.02205313370114213,55.15
